epoch,train_rmse,val_rmse,val_rmse_movavg,n_state_resets,C1_mean,C2_mean,R0_mean,R1_mean,R2_mean,gamma1_mean,M0_mean,M_mean,time_s
72,0.014224431209789229,0.020647552327551392,0.021538782144166317,0,37999.996784452735,37999.992871574184,0.02888943455482917,0.04675001615844391,0.04266103371778519,99.88511659171802,-0.4517015763698915,0.8456427853020966,72.83846139907837
73,0.015676802520530494,0.024532728585086355,0.021959479216316732,0,37999.996697282324,37999.99275393514,0.027584060115892137,0.05659852375919491,0.03951513284327306,99.88386100582642,-0.45844665106694654,0.8550231478079341,72.82780194282532
74,0.01584026867392257,0.019838555172862333,0.02155973546328655,0,37999.99675558025,37999.992892342205,0.03160470398363598,0.050383573508624914,0.040242518858358396,99.8880690304842,-0.4436554189796457,0.83238112664749,72.79689049720764
75,0.014557599048609692,0.020252022703505724,0.021438066518300762,0,37999.99676386622,37999.99289000021,0.029177213864232308,0.05033935570841875,0.03382043687774433,99.8850852385194,-0.45008342714787825,0.8330607038333191,72.84141254425049
76,0.014437654550410172,0.025664837678771396,0.022050593060720033,0,37999.99672136691,37999.99285632116,0.0324613922611868,0.07238073006361082,0.03878089509720255,99.88237254994203,-0.46068181640984274,0.8342716380494765,72.81355834007263
77,0.017893496492190065,0.021339122796437366,0.021960640185528173,0,37999.99689233829,37999.99318583712,0.024984780260678734,0.055806631524867506,0.045679706277648724,99.88746847044757,-0.43821394730754093,0.8108333318648411,73.18702340126038
78,0.015781033282739863,0.02004485880824754,0.021941996477326087,0,37999.99677980593,37999.992947834,0.028783103124751273,0.06325037821455738,0.04688038413350959,99.88483655910642,-0.4551921736446403,0.8429321661333047,72.7048819065094
79,0.016146665019426912,0.02060381930715189,0.02161543717245175,0,37999.9967534925,37999.992888825946,0.027420372195967664,0.05337046135608813,0.05341072623080633,99.88507714493375,-0.45931328709130004,0.8484342314099729,72.71133995056152
80,0.015517872303894063,0.01948002354999356,0.02146949607525702,0,37999.99679761422,37999.99300461113,0.029367665871029375,0.0523615689624284,0.05153425203908079,99.8867307795453,-0.44920453515372893,0.8397135480110456,73.09272241592407
81,0.01481021966910121,0.020212802490253156,0.02092950531340287,0,37999.996896513745,37999.993160064994,0.02771837386067952,0.05496739295620304,0.04166715509307906,99.8880861318017,-0.441695901992424,0.8335983186142819,72.81555795669556
